sample_id	cluster_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode13_120_filtered	226	40.99650725185107	0.0008786409321213715	1141888	Sphingomonas difficilis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	192	25.00447232913887	0.0005358981617509778	1550728	Blastomonas fulva	Blastomonas	Blastomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	23	27.0	0.0005786664952099274	2590199	Anaeromyxobacter diazotrophicus	Anaeromyxobacter	Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota					
barcode13_120_filtered	22	37.45343315502659	0.0008027054406443899	335605	Sphingomonas rosea	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	79	22.000000000000004	0.00047150603313401496	65655	Hydrogenophaga palleronii	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode13_120_filtered	155	17.370494992897612	0.0003722860539852464	2707068	Sphingomonas montis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	120	31.557945555099106	0.0006751806922357533	3103142	Sphingomonas rustica	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	120	1161.5026719838227	0.02485029251142111	2873268	Hephaestia mangrovi	Hephaestia	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	120	175.12247713023694	0.003746736780706824	2305907	Sphingomonas gilva	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	155	56.96737779499029	0.0012188142446510545	1460355	Sphingomonas mohensis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	155	18.67196183781184	0.0003994857047028635	2771430	Allosphingosinicella flava	Allosphingosinicella	Sphingomicrobiaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	120	129.29812999653595	0.0027663271287234905	1632740	Sphingomonas zeicaulis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	158	78.06597401504612	0.001670217672551265	2782540	Sphingomonas beigongshangi	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	181	327.0000000358502	0.006996148909624522	52692	Acetobacterium malicum	Acetobacterium	Eubacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode14_120_filtered	192	56.10836763633089	0.001200435764577041	1244894	Sphingomonas fonticola	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	134	27.514354233290813	0.0005886682548842707	1778672	Novosphingobium flavum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	158	17.006345714208415	0.00036384992970065074	2559804	Sphingomonas flavalba	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	22	38.60625947194723	0.0008259790216505612	335605	Sphingomonas rosea	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
