sample_id	cluster_id	abundance	Kingdom	Phylum	Class	Order	Family	Genus	Species	ncbi tax number	read_count
barcode19	109	0.001224674662		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis	2544956	52.4
barcode19	38	0.003206217596		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Salinomyces	Salinomyces polonicus	2810478	137.2
barcode19	159	0.000976234856		Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe phari	3023420	41.8
barcode19	32	0.009151657207		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	Geranomyces tanneri	1134076	391.7
barcode19	58	0.009158261388		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Vinositunica	Vinositunica ingens	2704025	392.0
barcode19	32	0.000862878923		Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium californicum	64516	36.9
barcode19	216	0.000997021493		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum	415601	42.7
barcode19	107	0.001378569670		Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea zeta	1571505	59.0
barcode19	35	0.003986965062		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys	Blastobotrys chiropterorum	45539	170.6
barcode19	35	0.001008749074		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Sugiyamaella	Sugiyamaella mastotermitis	1857663	43.2
barcode19	75	0.000820353573		Ascomycota	Sordariomycetes	Amphisphaeriales	Apiosporaceae	Apiospora	Apiospora aurea	335848	35.1
barcode19	46	0.000793433794		Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	Pseudolignincola	Pseudolignincola siamensis	2935555	34.0
barcode19	46	0.003556103777		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora	1068736	152.2
barcode19	88	0.008237519137		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii	1548888	352.5
barcode19	179	0.000444296489		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus	2877793	19.0
barcode19	179	0.000379567708		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces ellipsoideus	2877794	16.2
barcode19	73	0.000764276654		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis	243823	32.7
barcode19	163	0.001333910845		Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus chrysocarpus	1315970	57.1
barcode19	35	0.000638854048		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Sugiyamaella	Sugiyamaella lignohabitans	796027	27.3
barcode19	44	0.001169924237		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	Yamadazyma tenuis	2315449	50.1
barcode19	113	0.001971438742		Chytridiomycota	Chytridiomycetes	Gromochytriales	Gromochytriaceae	Gromochytrium	Gromochytrium mamkaevae	1486924	84.4
barcode19	25	0.002377707144		Oomycota	Peronosporomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora infestans	4787	101.8
barcode19	90	0.001027045511		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia laotica	2201245	44.0
barcode19	38	0.001557058749		Ascomycota	Dothideomycetes	Pleosporales	Testudinaceae	Lepidosphaeria	Lepidosphaeria nicotiae	372061	66.6
barcode19	58	0.001639049007		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Jimgerdemannia	Jimgerdemannia ambigua	2704023	70.1
barcode19	63	0.001876981162		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata	Dentiscutata savannicola	1208333	80.3
barcode19	88	0.001996137664		Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Dasyspora	Dasyspora nitidae	1006461	85.4
barcode19	82	0.000453812138		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Myxozyma	Myxozyma vanderwaltii	54101	19.4
barcode19	84	0.000450455816		Ascomycota				Novakomyces	Novakomyces olei	2605921	19.3
barcode19	21	0.001057776786		Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces arbusculus	64504	45.3
barcode19	50	0.000304102487		Mucoromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus occultum	144539	13.0
barcode19	114	0.001155883291		Ascomycota	Sordariomycetes	Phyllachorales	Phyllachoraceae	Phyllachora	Phyllachora sandiensis	2929137	49.5
barcode19	114	0.000237425600		Ascomycota	Sordariomycetes	Phyllachorales	Phyllachoraceae	Phyllachora	Phyllachora panicicola	2066077	10.2
barcode19	110	0.000265805711		Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Neomollisia	Neomollisia gelatinosa	2544971	11.4
