node	module	degree	strength	betweenness	closeness	genus	species	Phylum	Class	Order	Family	evidence_category	is_degrader
OTU_284	2	95	80.143	10.711	9.55e-4	Caproiciproducens	Caproiciproducens galactitolivorans	Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae	NA	FALSE
OTU_285	2	41	33	402.531	9.77e-4	Aliigemmobacter	Aliigemmobacter aestuarii	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_286	2	96	83.2	15.049	9.51e-4	Mobilitalea	Mobilitalea sibirica	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
OTU_287	2	76	62.971	6.954	8.81e-4	Geofilum	Geofilum rhodophaeum	Bacteroidota	Bacteroidia	Marinilabiliales	Marinilabiliaceae	NA	FALSE
OTU_288	4	7	6.257	160.5	9.79e-4	Fimbriimonas	Fimbriimonas ginsengisoli	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA	FALSE
OTU_289	4	7	5.971	0.083	9.61e-4	Stagnihabitans	Stagnihabitans tardus	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_292	1	78	65.029	176.413	8.53e-4	Aquipluma	Aquipluma nitroreducens	Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae	NA	FALSE
OTU_294	1	51	41.629	128.506	8.17e-4	Lutispora	Lutispora thermophila	Bacillota	Clostridia	Lutisporales	Lutisporaceae	NA	FALSE
OTU_295	1	50	38.857	42.794	7.24e-4	Sedimentibacter	Sedimentibacter acidaminivorans	Bacillota	Tissierellia	NA	NA	NA	FALSE
OTU_298	1	72	61.886	13.137	8.45e-4	Pleomorphomonas	Pleomorphomonas oryzae	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Pleomorphomonadaceae	NA	FALSE
OTU_299	2	104	87.657	200.477	9.52e-4	Marasmitruncus	Marasmitruncus massiliensis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_3	1	2	1.657	165	7.38e-4	Ruminiclostridium	Ruminiclostridium hungatei	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_300	1	77	67.571	5.017	8.46e-4	Sedimentibacter	Sedimentibacter saalensis	Bacillota	Tissierellia	NA	NA	NA	FALSE
OTU_301	2	76	62.971	6.954	8.81e-4	Sphingomonas	Sphingomonas difficilis	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_302	1	76	64.971	114.277	8.45e-4	Sphingomonas	Sphingomonas pokkalii	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_303	2	96	78.971	11.823	9.11e-4	Blastomonas	Blastomonas fulva	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Blastomonadaceae	NA	FALSE
OTU_305	1	72	61.886	13.137	8.45e-4	Irregularibacter	Irregularibacter muris	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	NA	FALSE
OTU_306	4	4	3.2	6125.3	9.75e-4	Sphingomonas	Sphingomonas montis	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_308	2	105	85.114	9.615	9.29e-4	Rubellimicrobium	Rubellimicrobium mesophilum	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	NA	FALSE
OTU_309	2	96	83.2	15.049	9.51e-4	Falsiroseomonas	Falsiroseomonas riguiloci	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	NA	FALSE
OTU_31	1	75	65.514	30.466	8.45e-4	Candidatus Soleaferrea	Candidatus Soleaferrea massiliensis	Bacillota	Clostridia	Eubacteriales	NA	NA	FALSE
OTU_311	2	91	75.229	17.495	8.37e-4	Sphingorhabdus	Sphingorhabdus planktonica	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	POP_BROAD	TRUE
OTU_314	2	101	83.171	438.299	0.001057	Falsiroseomonas	Falsiroseomonas wooponensis	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	NA	FALSE
OTU_316	2	103	82.2	17.078	9.32e-4	Acidilutibacter	Acidilutibacter cellobiosedens	Bacillota	Tissierellia	Tissierellales	Acidilutibacteraceae	NA	FALSE
OTU_317	2	92	77.714	426.906	0.001072	Fervidicella	Fervidicella metallireducens	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_318	2	105	87.4	50.611	9.59e-4	Devosia	Devosia enhydra	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	NA	FALSE
OTU_32	3	11	9.4	382.667	4.84e-4	Candidatus Chromulinivorax	Candidatus Chromulinivorax destructor	NA	Candidatus Babeliae	Candidatus Babeliales	Candidatus Chromulinivoraceae	NA	FALSE
OTU_320	1	75	65.514	30.466	8.45e-4	Longilinea	Longilinea arvoryzae	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	FALSE
OTU_321	1	77	67.571	5.017	8.46e-4	Antarcticimicrobium	Antarcticimicrobium luteum	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
