OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status	cluster_id	cluster_total_support_reads	assigned_phylum_support_pct	top_phylum_in_cluster	top_phylum_support_pct	assigned_class_support_pct	top_class_in_cluster	top_class_support_pct	assigned_order_support_pct	top_order_in_cluster	top_order_support_pct	assigned_family_support_pct	top_family_in_cluster	top_family_support_pct	assigned_genus_support_pct	top_genus_in_cluster	top_genus_support_pct	assigned_species_support_pct	top_species_in_cluster	top_species_support_pct
OTU_84	306	19	72	215	1		Ascomycota				Novakomyces	Novakomyces olei	pass	84	321.000	100.00	Ascomycota	100.00	NA		0.00	NA		0.00	NA		0.00	100.00	Novakomyces	100.00	100.00	Novakomyces olei	100.00
OTU_42	304	56	125	123	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales		Hyaloraphidium	Hyaloraphidium curvatum	pass	42	327.600	100.00	Chytridiomycota	100.00	100.00	Monoblepharidomycetes	100.00	100.00	Monoblepharidales	100.00	NA		0.00	100.00	Hyaloraphidium	100.00	100.00	Hyaloraphidium curvatum	100.00
OTU_293	302	88	56	158	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis	pass	293	323.700	100.00	Mucoromycota	100.00	100.00	Glomeromycetes	100.00	100.00	Diversisporales	100.00	100.00	Acaulosporaceae	100.00	100.00	Acaulospora	100.00	100.00	Acaulospora laevis	100.00
OTU_109	301	52	65	183	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis	pass	109	301.000	100.00	Ascomycota	100.00	100.00	Leotiomycetes	100.00	100.00	Helotiales	100.00	100.00	Helotiaceae	100.00	100.00	Dicephalospora	100.00	100.00	Dicephalospora sessilis	100.00
OTU_39	295	29	161	105	1		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis	pass	39	317.000	100.00	Basidiomycota	100.00	100.00	Ustilaginomycetes	100.00	100.00	Ustilaginales	100.00	NA		0.00	100.00	Kalmanozyma	100.00	100.00	Kalmanozyma brasiliensis	100.00
OTU_60	268	27	115	126	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella galacta	pass	60	267.900	100.00	Ascomycota	100.00	100.00	Dipodascomycetes	100.00	100.00	Dipodascales	100.00	100.00	Trichomonascaceae	100.00	100.00	Wickerhamiella	100.00	100.00	Wickerhamiella galacta	100.00
OTU_21	261	45	72	144	1		Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces arbusculus	pass	21	261.300	100.00	Blastocladiomycota	100.00	100.00	Blastocladiomycetes	100.00	100.00	Blastocladiales	100.00	100.00	Blastocladiaceae	100.00	100.00	Allomyces	100.00	100.00	Allomyces arbusculus	100.00
OTU_107	258	59	65	134	2		Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea zeta	pass	107	258.100	100.00	Ascomycota	100.00	100.00	Dothideomycetes	100.00	100.00	Pleosporales	100.00	100.00	Lentitheciaceae	100.00	100.00	Darksidea	100.00	91.86	Darksidea zeta	91.86
OTU_234	238	28	40	170	1		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus haptosporus	pass	234	251.700	100.00	Zoopagomycota	100.00	100.00	Basidiobolomycetes	100.00	100.00	Basidiobolales	100.00	100.00	Basidiobolaceae	100.00	100.00	Basidiobolus	100.00	100.00	Basidiobolus haptosporus	100.00
OTU_22	227	72	50	105	2		Oomycota	Peronosporomycetes	Peronosporales	Peronosporaceae	Bremia	Bremia lactucae	pass	22	227.000	100.00	Oomycota	100.00	100.00	Peronosporomycetes	100.00	100.00	Peronosporales	100.00	100.00	Peronosporaceae	100.00	80.18	Bremia	80.18	80.18	Bremia lactucae	80.18
OTU_130	221	21	72	127	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	Gonapodya prolifera	pass	130	235.800	100.00	Chytridiomycota	100.00	100.00	Monoblepharidomycetes	100.00	100.00	Monoblepharidales	100.00	100.00	Gonapodyaceae	100.00	100.00	Gonapodya	100.00	100.00	Gonapodya prolifera	100.00
OTU_274	218	24	88	106	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Terramycetaceae	Terramyces	Terramyces aquatica	pass	274	217.900	100.00	Chytridiomycota	100.00	100.00	Chytridiomycetes	100.00	100.00	Rhizophydiales	100.00	100.00	Terramycetaceae	100.00	100.00	Terramyces	100.00	100.00	Terramyces aquatica	100.00
OTU_268	210	72	108	30	1		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum otae	pass	268	210.200	100.00	Basidiomycota	100.00	100.00	Tremellomycetes	100.00	100.00	Trichosporonales	100.00	100.00	Trichosporonaceae	100.00	100.00	Apiotrichum	100.00	100.00	Apiotrichum otae	100.00
