OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	matched_phylum	category
OTU_261	barcode20	105	0.003788	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba	Ascomycota	Pollutant_responsive
OTU_261	barcode21	180	0.003254	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba	Ascomycota	Pollutant_responsive
OTU_72	barcode19	43	0.004212	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae	Ascomycota	Pollutant_responsive
OTU_72	barcode20	100	0.003607	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae	Ascomycota	Pollutant_responsive
OTU_72	barcode21	180	0.003254	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae	Ascomycota	Pollutant_responsive
OTU_84	barcode19	19	0.001861	1		Ascomycota				Novakomyces	Novakomyces olei	Ascomycota	Pollutant_responsive
OTU_84	barcode20	72	0.002597	1		Ascomycota				Novakomyces	Novakomyces olei	Ascomycota	Pollutant_responsive
OTU_84	barcode21	215	0.003887	1		Ascomycota				Novakomyces	Novakomyces olei	Ascomycota	Pollutant_responsive
OTU_293	barcode19	88	0.008620	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_293	barcode20	56	0.002020	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_293	barcode21	158	0.002856	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_109	barcode19	52	0.005094	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis	Ascomycota	Pollutant_responsive
OTU_109	barcode20	65	0.002345	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis	Ascomycota	Pollutant_responsive
OTU_109	barcode21	183	0.003308	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis	Ascomycota	Pollutant_responsive
OTU_39	barcode19	29	0.002841	1		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis	Basidiomycota	Direct_POP_degradation
OTU_39	barcode20	161	0.005808	1		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis	Basidiomycota	Direct_POP_degradation
OTU_39	barcode21	105	0.001898	1		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis	Basidiomycota	Direct_POP_degradation
OTU_60	barcode19	27	0.002645	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella galacta	Ascomycota	Pollutant_responsive
OTU_60	barcode20	115	0.004148	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella galacta	Ascomycota	Pollutant_responsive
OTU_60	barcode21	126	0.002278	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella galacta	Ascomycota	Pollutant_responsive
OTU_107	barcode19	59	0.005779	2		Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea zeta	Ascomycota	Pollutant_responsive
OTU_107	barcode20	65	0.002345	2		Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea zeta	Ascomycota	Pollutant_responsive
OTU_107	barcode21	134	0.002422	2		Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea zeta	Ascomycota	Pollutant_responsive
OTU_268	barcode19	72	0.007053	1		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum otae	Basidiomycota	Direct_POP_degradation
OTU_268	barcode20	108	0.003896	1		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum otae	Basidiomycota	Direct_POP_degradation
OTU_268	barcode21	30	0.000542	1		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum otae	Basidiomycota	Direct_POP_degradation
OTU_230	barcode19	130	0.012734	1		Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Dasyspora	Dasyspora frutescentis	Basidiomycota	Direct_POP_degradation
OTU_230	barcode20	24	0.000866	1		Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Dasyspora	Dasyspora frutescentis	Basidiomycota	Direct_POP_degradation
OTU_230	barcode21	50	0.000904	1		Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Dasyspora	Dasyspora frutescentis	Basidiomycota	Direct_POP_degradation
OTU_86	barcode19	17	0.001665	3		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera mississippiensis	Ascomycota	Pollutant_responsive
OTU_86	barcode20	67	0.002417	3		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera mississippiensis	Ascomycota	Pollutant_responsive
OTU_86	barcode21	111	0.002007	3		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera mississippiensis	Ascomycota	Pollutant_responsive
OTU_182	barcode19	13	0.001273	2		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia colbranii	Ascomycota	Pollutant_responsive
OTU_182	barcode20	31	0.001118	2		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia colbranii	Ascomycota	Pollutant_responsive
